指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
逾期90天贷款率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
博士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
硕士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
学士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
大专人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
高中及以下人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
生产人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
销售人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
技术人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
财务人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
行政人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
其他人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
市值,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
总股数,report_section,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
流通股数,report_section,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
总股东人数（季度）,report_section,report,年报/半年报/季报,python:headcount,universal[*],股东情况,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
